tweet_text,tweet_category,tweet_topics,tweet_location,tweet_state,tweet_region,user_gender,retweet_count,tweet_date,tweet_time,day_of_week
By this time next year I want to be looking at houses _ÙÁ #NewYearsResolution,Time Management/Organization,Re-organize,"algonac,michigan",MI,Midwest,female,NULL,2014-12-21,21,Sunday
I Am here to save the world. Damn it feels good. Daily Miracles. Join the #evolution  #NewYearsResolution #resolutions What are you here 4?,Philanthropic,Donate more to charity,Santa Monica,CA,West,male,NULL,2014-12-21,22,Sunday
&amp; too obsessed with social media.... habit I need to break #NewYearsResolution,Personal Growth,Use less social media,ft lauderdale,FL,South,female,NULL,2014-12-21,22,Sunday
1. Catch up on the 20 series I've totally missed out on. #NewYearsResolution,Recreation & Leisure,See a Concert/Show,San Diego,CA,West,male,NULL,2014-12-21,23,Sunday
#NewYearsResolution become the fun person i use to be.,Personal Growth,Improve my attitude,La Nouvelle-OrlÌ©ans,LA,South,male,NULL,2014-12-22,2,Monday
to actually work out and not be lazy about it  #NewYearsResolution,Personal Growth,Focus on my self,"NYC ",NY,Northeast,female,NULL,2014-12-22,2,Monday
RT @Lindseylelledee: Can't wait to be super clichÌ© &amp; jump back on the fitness wagon come January! #NewYearsResolution,Health & Fitness,Improve my body,"worcester, ma",MA,Northeast,female,NULL,2014-12-22,3,Monday
Wow my last post was around this time last year. #NewYearsResolution Get my twitter game up lol,Humor,Other,Dallas Tx,TX,South,male,NULL,2014-12-22,4,Monday
@adrianna_love oh #NewYearsResolution  ? It should be to build a real friendship like you promised we'd have,Family/Friends/Relationships,Have a baby,California‰ÝÉ‰Ïö,CA,West,female,NULL,2014-12-22,5,Monday
RT @xNova_Cane: @adrianna_love oh #NewYearsResolution  ? It should be to build a real friendship like you promised we'd have,Family/Friends/Relationships,Make new friends,Californiaa,CA,West,female,NULL,2014-12-22,5,Monday
Thankful that spring always comes after winter. #writerslife #NewYearsResolution http://t.co/3N4D9vZ8A8,Personal Growth,Improve my appearance,Georgia,GA,South,female,NULL,2014-12-22,7,Monday
#NewYearsResolution for 2015 is to finish writing my book and get it published,Time Management/Organization,Other,Miami,FL,South,male,NULL,2014-12-22,7,Monday
#NewYearsResolution fight Jack everytime I see him,Family/Friends/Relationships,Other,"New York #UA2016  ",NY,Northeast,female,NULL,2014-12-22,8,Monday
http://t.co/lCV97vwVn6 : motivate yourself. #workoutorwalkout #GymTime #healthyliving #NewYearsResolution ‰Ð¼ http://t.co/GlxW6TWj38,Health & Fitness,Quit smoking,Alaska,AK,West,female,NULL,2014-12-22,9,Monday
RT @BelleIsle_Rack: Just got a ton of new workout clothes in.. I'm glad because I will need some after the holidays! #NewYearsResolution ht‰Û_,Health & Fitness,Excersize More,Oklahoma,OK,South,female,NULL,2014-12-22,9,Monday
#vacation! Ahhhh I can finally relax. Work on my #NewYearsResolution  ;),Recreation & Leisure,Other,San Francisco,CA,West,female,NULL,2014-12-22,9,Monday
Must have Tech partners in 2015  @FieldViewSolu #DCIM @AnordCritical #switchgear@Seven10Software #cloudstorage #NewYearsResolution,Career,Join a startup,Portsmouth -  #Boston,MA,Northeast,female,NULL,2014-12-22,9,Monday
"RT @margaretyo: Already thinking of #NewYearsResolution for #2015. Lose weight, save money, and most importantly, get rid of bad friends.",Health & Fitness,Lose weight,"Farmington Hills, MI",MI,Midwest,female,NULL,2014-12-22,9,Monday
This is when people start reflecting on their past. I'm just focused on my future. #holidays #endoftheyear  #NewYearsResolution stay focused,Personal Growth,Focus on my self,"Louisiana ",LA,South,female,NULL,2014-12-22,10,Monday
New Year's resolution: eat more cupcakes. #NewYearNewMe #NewYearsResolution,Personal Growth,Other,NYC,NY,Northeast,female,NULL,2014-12-22,10,Monday
2015 lots of traveling ‰Ïö•ü #NewYearsResolution,Recreation & Leisure,Take more vacation,"Houston, Texas",TX,South,female,NULL,2014-12-22,10,Monday
2015 i get my christmas shopping done before december comes... _Ù÷¤_ÙÔ_ #NewYearsResolution,Personal Growth,Other,"Aurora, OH",OH,Midwest,male,NULL,2014-12-22,11,Monday
"5 down, 25 miles to go #iwillwalk500miles #health #fitness #newyearsresolution #almostthere http://t.co/yl3zcSoWkI",Health & Fitness,Excersize More,"Washington, DC",DC,South,female,NULL,2014-12-22,12,Monday
My #NewYearsResolution for 2015? More sustainable purchasing- whether it's local and/or responsibly sourced products! #FollowTheFrog,Personal Growth,Be More Confident,"New York, NY",NY,Northeast,female,NULL,2014-12-22,12,Monday
"#NewYearsResolution Avoid the gym for a couple of weeks in January until all the slobs fail at their ""resolutions"".",Humor,Humor about Time Management/Organization Resolutions,"Beverly Hills, CA",CA,West,male,NULL,2014-12-22,12,Monday
"#NewYearsResolution try to go to church more, reduce my profanity, save more, think before acting, say less and do more.",Personal Growth,Focus on Religion and Faith,memphis,TN,South,male,NULL,2014-12-22,12,Monday
Something I need to do more of--sharing about my classroom. #NewYearsResolution Blog Entry: http://t.co/Q4gdAs5zEF,Personal Growth,Be more positive,"Arlington, IA",IA,Midwest,female,NULL,2014-12-22,12,Monday
"I live right down the street from @baconandbutters‰Ûª new location, and have yet to go. #NewYearsResolution #eatmore",Health & Fitness,Quit smoking,"Sacramento, CA",CA,West,male,NULL,2014-12-22,13,Monday
Don't expect me to change its just a new year _Ù÷ I am just going to be myself_Ù÷Î #NewYearsResolution #newyearsameme ‰ÏÎ‰ÏÎ‰ÏÎ_Ù÷,Personal Growth,Appreciate what I have,"Oahu, Hawaii",HI,West,female,NULL,2014-12-22,13,Monday
RT @VanessaKEccles: Thankful that spring always comes after winter. #writerslife #NewYearsResolution http://t.co/3N4D9vZ8A8,Personal Growth,Be more positive,"Oklahoma City, OK",OK,South,female,NULL,2014-12-22,13,Monday
If I could go a day without cleaning up dog pee or poop that would be wonderful‰Û_ #NewYearsResolution? _ÙÕ©,Personal Growth,Be more positive,"Oregon, USA",OR,West,male,NULL,2014-12-22,13,Monday
One #NewYearsResolution of mine is to work on my spending. Free alcohol might help one line item ;) Via @BostInno http://t.co/MSWJAXbnsX,Finance,Save money,"Allston, Rock City, MA",MA,Northeast,female,NULL,2014-12-22,13,Monday
#NewYearsResolution For us @Gnarlylet @Diaz2000Cynthia &amp; I to get noticed! &amp; make more people smile https://t.co/1lpm3buqg5,Personal Growth,Be more positive,Arizona,AZ,West,female,NULL,2014-12-22,13,Monday
"Start 2015 out right with the right fitness, nutrition plan and peer support. #p90 #secondfitness #newyearsresolution http://t.co/Agj6gdgESr",Health & Fitness,Eat fewer carbs,"Garnet Valley, PA",PA,Northeast,male,NULL,2014-12-22,13,Monday
My #NewYearsResolution is to beat #bae in our fitness competition.,Health & Fitness,Go to the gym more,"Lake Charles, LA",LA,South,male,NULL,2014-12-22,13,Monday
RT @MarewaGlover: Tobacco prices up 10% again in NZ this coming 1 Jan. Time to #quit #smoking - happy to help. Msg me if you want advice. #‰Û_,Health & Fitness,Quit smoking,Missouri,MO,Midwest,male,NULL,2014-12-22,14,Monday
"Is there a way to increase your spice tolerance? If so, that's my #NewYearsResolution _ÙÓ´",Personal Growth,Improve my attitude,"Bend, OR",OR,West,female,NULL,2014-12-22,14,Monday
this will be me come the new year https://t.co/Ap9ukCpA1t #NewYearsResolution,Health & Fitness,Improve my body,San Francisco,CA,West,female,NULL,2014-12-22,14,Monday
#HappyMonday..!! &amp; Here's My #NewYearsResolution..!! http://t.co/7ERIocCxeJ,Personal Growth,Other,St. Paul,MN,Midwest,male,NULL,2014-12-22,14,Monday
"Be present when any gay Hispanic man says he wants to get his ""neeples"" pierced #NewYearsResolution",Humor,Humor about not Resolutions in general,Brooklyn,NY,Northeast,female,NULL,2014-12-22,15,Monday
"#NewYearsResolution is learning to say, ""No!"" _Ù_Ç",Personal Growth,Be more positive,"Tucson, Arizona",AZ,West,female,NULL,2014-12-22,15,Monday
"2015: #Focus on the #goals, NOT the obstacles. You see obstacles when you take your eyes off the #goal.#NewYearsResolution#GoalsFor2015",Personal Growth,Acheive My Goals,"Denver, CO",CO,West,male,NULL,2014-12-22,15,Monday
My #NewYearsResolution is 1920X1080 ... #techumor ... #woodhana ...,Humor,Humor about New Years,CA Coast,CA,West,male,NULL,2014-12-22,16,Monday
Drinking only #sriracha for 2015 #NewYearsResolution,Recreation & Leisure,Other,"Los Angeles, CA",CA,West,male,NULL,2014-12-22,16,Monday
Money #NewYearsResolution,Finance,Save money,bensalem. philadelphia.,PA,Northeast,male,NULL,2014-12-22,16,Monday
One day I'll take a selfie that isn't horrible... one day. #NewYearsResolution,Humor,Humor about Helping Others Resolutions,Southerner living in Oregon,OR,West,male,NULL,2014-12-22,16,Monday
#NewYearsResolution is for @AaronCarpenter to flipping FOLLOW ME!!!!! #FollowMeAaron,Recreation & Leisure,Other,Florida,FL,South,female,NULL,2014-12-22,17,Monday
"Remember have realistic resolutions this year mine is to be able to tie towel around my waist, beach towels don't count #NewYearsResolution",Humor,Humor about Health and Fitness Resolutions,Sacramento,CA,West,male,NULL,2014-12-22,17,Monday
When this new year comes I'm going to stick to my #NewYearsResolution,Personal Growth,Get a tattoo,"Orlando ",FL,South,male,NULL,2014-12-22,17,Monday
"I didn't realize how fat I was until I took a photo with ""Mrs Claus"" today. Now have my ""before photo"" for my #NewYearsResolution #SoUpset",Health & Fitness,Lose weight,"Tacoma, WA",WA,West,female,NULL,2014-12-22,17,Monday
Planning on uploading my entire music catalog on @Spotify and @iTunesMusic in early 2015. #NewYearsResolution #EDM #Dance #Music,Recreation & Leisure,Spend more time on my hobby,"Houston, TX",TX,South,male,NULL,2014-12-22,17,Monday
I'm already trying to make a #NewYearsResolution to be nicer to #liberals &amp; #DemocratsSetting myself up for failure. #JustSayin,Personal Growth,Be more positive,Chicago,IL,Midwest,male,NULL,2014-12-22,18,Monday
"#NewYearsResolution  It's time to leave the past in the past and work on becoming a better you in the future.""",Personal Growth,Be more positive,"#Seattle ",WA,West,female,NULL,2014-12-22,18,Monday
Last year I gave up Candy Crush for the new year. This time it's Coca Cola for a year. #EternalSadness #NewYearsResolution,Health & Fitness,Eat healthier,Boston,MA,Northeast,female,NULL,2014-12-22,18,Monday
RT @melindaax21: @Nasreinberro @ZeeHourani #NewYearsResolution is to learn why Johnny said no,Personal Growth,Be More Fun,"Michigan ‰Ïö•ü Australia ",MI,Midwest,female,NULL,2014-12-22,19,Monday
"As part of my end of the year cleansing, I've deleted #candycrush from my devices. #NewYearsResolution #feelingmotivated",Personal Growth,Spend less time on Facebook,"Willoughby Hills, OH",OH,Midwest,female,NULL,2014-12-22,19,Monday
Positive vibes...done sweating the small stuff. #newyears came early this year. #NewYearsResolution,Personal Growth,Be more positive,"Los Angeles, California",CA,West,female,NULL,2014-12-22,20,Monday
"#NewYearsResolution #2015 Read more. Take the dog on more runs. Turn my phone off more often. Be creative by writing, crafting, painting...",Personal Growth,Be more positive,Phoenix,AZ,West,female,NULL,2014-12-22,20,Monday
#NewYearsResolution #2015 Get that @SpartanRace Trifecta Medal. Get lean and mean for my 30th birthday in Maui with @TheDolceDiet #3w2s,Health & Fitness,Go to the gym more,Phoenix,AZ,West,female,NULL,2014-12-22,20,Monday
Get life together. #NewYearsResolution,Personal Growth,Get my life together,New Mexico,NM,West,male,NULL,2014-12-22,20,Monday
"2015 is going to be the year which I focus on myself, and not let anyone take me for granted. #NewYearsResolution",Personal Growth,Focus on my self,"Anaheim, CA",CA,West,female,NULL,2014-12-22,20,Monday
"""You can like him, but don't get attached."" #motto #NewYearsResolution ?",Personal Growth,Watch less TV,Cedar Falls,IA,Midwest,female,NULL,2014-12-22,20,Monday
"#NewYearsResolution Read more, write more.",Recreation & Leisure,Go to Europe,"San Diego, CA",CA,West,male,NULL,2014-12-22,20,Monday
#NewYearsResolution get fit _ÙÕ»,Health & Fitness,Improve my body,"Hesperia California ",CA,West,male,NULL,2014-12-22,20,Monday
True to my word: I erased the little bits that you said the second you no longer found it convenient to say them. #NewYearsResolution,Personal Growth,Have more patience,"West Palm Beach, FL",FL,South,male,NULL,2014-12-22,21,Monday
my #NewYearsResolution is to watch more anime and sports. also going outside and workout. plus going to Ohio State.,Recreation & Leisure,Spend more time outside,"Gahanna, OH",OH,Midwest,male,NULL,2014-12-22,21,Monday
#NewYearsResolution 1. To become best friends with CAMERON Alexander Dallas _Ù÷_‰_•ü @camerondallas _Ù÷_‰_•ü,Family/Friends/Relationships,Make new friends,Texas,TX,South,female,NULL,2014-12-22,21,Monday
‰ÛÏ@sydnipina: Stop swearing #NewYearsResolution‰Û_ÙÕø,Personal Growth,Be more positive,"Brockton, MA",MA,Northeast,male,NULL,2014-12-22,22,Monday
"New year, new glasses... I still plan on being the same old annoying me as last year #NewYearsResolution",Humor,Humor about Personal Growth and Interests Resolutions,Santa Ana ‰ Ó•üRoseville,CA,West,male,NULL,2014-12-22,22,Monday
#NewYearsResolution for 2015: get fit. Nothing more specific than that; I just know I'm unfit now and should step up a bit. #AchievableGoals,Health & Fitness,Excersize More,NZ via SF Bay Area via NY,NY,Northeast,female,NULL,2014-12-22,23,Monday
Time to make more money less excuse #NewYearsResolution,Finance,Invest for retirement,"park hill ",MI,Midwest,male,NULL,2014-12-22,23,Monday
New Years resolution for next year: Smile more. #NewYearsResolution,Personal Growth,Be more positive,"Raliegh, North Carolina",NC,South,female,NULL,2014-12-23,0,Tuesday
resolution #11: put myself in situations to meet more people and be more social #newyearsresolution #countdownto2015,Personal Growth,Be more friendly,"Silicon Valley, California",CA,West,male,NULL,2014-12-23,0,Tuesday
#NewYearsResolution: Learn to cry like @ADAMDEVINE. http://t.co/9tUk53gNRM #TheMaster ‰_•ü,Humor,Humor about New Years,"Hollywood, CA",CA,West,female,NULL,2014-12-23,1,Tuesday
Maybe I'll tone it down in 2015. #NewYearsResolution,Personal Growth,Focus on my self,"Turlock, CA",CA,West,male,NULL,2014-12-23,1,Tuesday
Sadly my arms are sore from bringing crates of juice in the LPN room yesterday. Reminds me of my #newyearsresolution to get nice arms _ÙÕ»,Health & Fitness,Eat more vegetables,CT,CT,Northeast,female,NULL,2014-12-23,3,Tuesday
"The  way to gain a good reputation, is to endeavor to be what you desire to appear. - Socrates #NewYearsResolution #success #personalgrowth",Personal Growth,Be more positive,"New York, USA",NY,Northeast,male,NULL,2014-12-23,4,Tuesday
"My #newyearsresolution: avoid all thoughts of personal reform, self-improvement or plans that lead to guilt, denial or other unpleasant...",Personal Growth,Be more positive,"Margate, FL",FL,South,male,NULL,2014-12-23,4,Tuesday
"given that I've made more dog friends than human ones since moving to DC, I think it's obvious what my #NewYearsResolution should be.",Personal Growth,Be more friendly,DC,DC,South,male,NULL,2014-12-23,6,Tuesday
I need to just work on my Spanish so I can finally move here.... ‰ÏÓ•ü_Ù÷_#NewYearsResolution _ÙÎ«,Education/Training,Learn a new language,"Detroit, Michigan",MI,Midwest,female,NULL,2014-12-23,6,Tuesday
"Imaa Start Workinn Out Fr . Cuss Im Lazyy Asf &amp;' Need Too Stay In The Shapee Im In , #NewYearsResolution",Health & Fitness,Excersize More,"Brooklyn , New York",NY,Northeast,female,NULL,2014-12-23,6,Tuesday
Last year i aint get no likes. This year im going hard lol #confessions #NewYearsResolution,Personal Growth,Have more patience,atlanta,GA,South,male,NULL,2014-12-23,6,Tuesday
My New Year's resolution is to use twitter more. #Iwantobehip #NewYearsResolution,Recreation & Leisure,Other,"Lansing, MI",MI,Midwest,female,NULL,2014-12-23,6,Tuesday
"next year, GNC will be the main store i'll be in. i wanna loose 50 pounds._ÙÕ» #NewYearsResolution",Health & Fitness,Lose weight,texas,TX,South,female,NULL,2014-12-23,7,Tuesday
#NewYearsResolution finish the books I've started and forgotten about,Personal Growth,Read more books,Ga,GA,South,female,NULL,2014-12-23,7,Tuesday
"More bike, less car, simple as that  #NewYearsResolution #FollowTheFrog",Recreation & Leisure,Take a cross country trip,"Brooklyn, New York",NY,Northeast,female,NULL,2014-12-23,7,Tuesday
The only thing i'm keeping from 2014 is my @LEVIS. My 501's to be exact. Everything else can go. #NewYearsResolution,Personal Growth,Update my wardrobe,"Augusta, GA",GA,South,male,NULL,2014-12-23,7,Tuesday
"Don't have $400 for a standup desk, but I do have creativity and ingenuity! #NewYearsResolution: Less sitting around! http://t.co/UbUy2ipJo1",Recreation & Leisure,Other,"Omaha, Ne",NE,Midwest,male,NULL,2014-12-23,7,Tuesday
"A #NewYearsResolution should probably be something more substantial than ""tweet more"", huh? Asking for a friend.",Family/Friends/Relationships,Make new friends,"Philadelphia, PA",PA,Northeast,female,NULL,2014-12-23,7,Tuesday
#NewYearsResolution: stop being so damn crazy,Humor,Humor about Personal Growth and Interests Resolutions,"Brooklyn,New York",NY,Northeast,female,NULL,2014-12-23,7,Tuesday
@bubbleygalinda @jtimberlake We should probably stop calling his baby Timberbiel if he's going to take us seriously. #NewYearsResolution,Humor,Humor about Family/Friends/Relationships Resolutions,"South Bend, Ind.",IN,Midwest,female,NULL,2014-12-23,8,Tuesday
@nervomusic so excited for your show here in #ATL on #ValentinesDay!! My only #NewYearsResolution is to meet you girls!! #nervo #edm #dreams,Recreation & Leisure,Spend more time on my hobby,"Atlanta, GA",GA,South,male,NULL,2014-12-23,8,Tuesday
"""I'm learning to love myself. It's the hardest thing I've ever done.""#confidence #love #NewYearsResolution",Personal Growth,Improve my attitude,"Stafford, VA",VA,South,female,NULL,2014-12-23,8,Tuesday
"It's starting to look like the only way to get hella likes on FB is to have kids. Oh well, #NewYearsResolution",Family/Friends/Relationships,Other,Merced CA,CA,West,male,NULL,2014-12-23,8,Tuesday
@fitnessandfeta #NewYearsResolution of a complete chin up is in the bag!,Health & Fitness,Stop/Quit Drinking,"Eden Prairie, MN",MN,Midwest,male,NULL,2014-12-23,8,Tuesday
RT @KingQuijano: #NewYearsResolution Get back in shape &amp; stop cussing. _Ù÷_Ù÷_Ù÷,Health & Fitness,Stop/Quit Drinking,jacksonville nc,NC,South,male,NULL,2014-12-23,8,Tuesday
#RP jayraw__ #newyearsresolution _Ù÷_Ù÷_Ù÷ I am emotionally tired of worrying about who is down with me‰Û_ http://t.co/RshkQEORHL,Personal Growth,Improve my attitude,"Fort Lauderdale, Florida",FL,South,female,NULL,2014-12-23,8,Tuesday
"#ChristmasAlone this year, again. I've decided to work on my #NewYearsResolution, play #DAI and eat cake and wine. #notabadthing",Recreation & Leisure,Cook more,Las Vegas,NV,West,female,NULL,2014-12-23,8,Tuesday
"I am grateful I have supportive, inspirational people in my life. my #NewYearsResolution is to show my appreciation and make them proud.",Family/Friends/Relationships,Be better at keeping in touch with loved ones or friends,los angeles,CA,West,female,NULL,2014-12-23,8,Tuesday
"Step 1 'Simpler &amp; Happier': Let the unsubscribing begin! Sale e-mails, esp to sites I never even ordered from. wtf #NewYearsResolution",Personal Growth,Read more books,"Marlton, NJ",NJ,Northeast,female,NULL,2014-12-23,8,Tuesday
This year I'm going on the offensive. I'm gonna offend at least 2x as many people as I did in 2014. #goals #NewYearsResolution,Humor,Humor about Family/Friends/Relationships Resolutions,"Brooklyn, NY",NY,Northeast,male,NULL,2014-12-23,8,Tuesday
Let the healing begin! #NewYearsResolution I am starting my @LaVidaMassage membership today! Now finding the right therapist! #AllForMe,Personal Growth,Be more positive,"Seattle, Washington",WA,West,female,NULL,2014-12-23,8,Tuesday
doing the insanity workout doing this for at least 2 weeks-month I'm already seeing results after last night! _ÙªÉ_ÙÕ»_Ù÷_ #NewYearsResolution,Health & Fitness,Improve my body,chicago,IL,Midwest,female,NULL,2014-12-23,8,Tuesday
"I think I'm going to start making my Twitter game, quote in quote, stupid for 2015. #NewYearsResolution #NeedACleverHashtag",Humor,Humor about Family/Friends/Relationships Resolutions,"LaGrange, GA",GA,South,male,NULL,2014-12-23,8,Tuesday
RT @czarcasmnyc: This year I'm going on the offensive. I'm gonna offend at least 2x as many people as I did in 2014. #goals #NewYearsResolu‰Û_,Humor,Humor about Career Resolutions,New York City,NY,Northeast,female,NULL,2014-12-23,9,Tuesday
#NewYearsResolution no more soda,Health & Fitness,Eat healthier,"TX ",TX,South,female,NULL,2014-12-23,9,Tuesday
Come 2015 I will be using this to improve #NewYearsResolution http://t.co/kG4XkHLAUN,Personal Growth,Read more books,Boston,MA,Northeast,male,NULL,2014-12-23,9,Tuesday
Improving 1% a Day for 365 Days: http://t.co/abk2IiAuoF #selfhelp #newyearsresolution http://t.co/hHPgpQ8sD2,Personal Growth,Improve my attitude,"Natchez, Mississippi",MS,South,male,NULL,2014-12-23,9,Tuesday
RT @GolTV: Bae: I want a man with a career...I'm on it! #NewYearsResolution http://t.co/yeHkT7ywzJ,Career,Ask for a promotion,The Permian Basin,TX,South,male,NULL,2014-12-23,10,Tuesday
RT @chicadlicious: Yall ready to start hitting the gym for about two weeks?! #newyearnewme #NewYearsResolution,Health & Fitness,Lose weight,"Madison, United States",WI,Midwest,male,NULL,2014-12-23,10,Tuesday
#NewYearsResolution is to read a minimum of four books a month.,Personal Growth,Read more books,"ë£ëÊ  MSSU  Joplin, MO",MO,Midwest,male,NULL,2014-12-23,11,Tuesday
No Slouching! The Science of Good Posture and its Benefits http://t.co/Xiab2deN2F #NewYearsResolution http://t.co/6G6dWkSl5J,Health & Fitness,Other,"Dallas, Texas",TX,South,male,NULL,2014-12-23,11,Tuesday
"RT @EmilyKTVZ: Is there a way to increase your spice tolerance? If so, that's my #NewYearsResolution _ÙÓ´",Humor,Humor about Health and Fitness Resolutions,"Portland, OR ",OR,West,female,NULL,2014-12-23,11,Tuesday
"2015, i shall get ripped bruhhh _Ù÷â_Ù÷â #relateable #Funny #Comedy #newyearsresolution https://t.co/Hp3tybW7G9",Humor,Humor about Recreation and Leisure Resolutions,Port Saint Lucie Florida,FL,South,male,NULL,2014-12-23,11,Tuesday
My New Year's resolution is to have my life be based on a true story. #NewYearsResolution,Personal Growth,Get my life together,"Maryland, USA",MD,South,male,NULL,2014-12-23,11,Tuesday
My #NewYearsResolution: protest til white America acknowledges that #BlackLivesMatter https://t.co/K6B3c01bep #seattle #ferguson #shutitdown,Philanthropic,Spread Peace,"Seattle, WA",WA,West,male,NULL,2014-12-23,12,Tuesday
Never been kissed on New Years. #NewYearsResolution,Family/Friends/Relationships,Find a Girlfriend,American Falls,ID,West,female,NULL,2014-12-23,12,Tuesday
Stop wearing pants. #NewYearsResolution,Humor,Humor about Health and Fitness Resolutions,"Pittsburgh, PA",PA,Northeast,female,NULL,2014-12-23,12,Tuesday
My graduation photo.... I should probably take one soon... #newyearsresolution http://t.co/FgH5xHym4X,Education/Training,Finish school,Atlanta Georgia,GA,South,male,NULL,2014-12-23,12,Tuesday
#NewYearsResolution that Jesus Christ will ALWAYS be first in our lives. Especially mine.,Personal Growth,Focus on Religion and Faith,"new orleans ",LA,South,male,NULL,2014-12-23,12,Tuesday
"My New Years goal: inspire and help people get in shape. I want to motivate, not just be antother ""meathead"" in the gym. #NewYearsResolution",Health & Fitness,Eat Less Sugar,"Toledo, OH",OH,Midwest,female,NULL,2014-12-23,12,Tuesday
It's been an incredible #jesusyear. Hopefully next year I don't crash and burn. #NewYearsResolution,Personal Growth,Be more positive,Los Angeles,CA,West,female,NULL,2014-12-23,12,Tuesday
A facebook year to remember... I'd rather not. #NewYearsResolution,Personal Growth,Spend less time on Facebook,Los Angeles,CA,West,female,NULL,2014-12-23,13,Tuesday
RT @BetweenWorlds25: Carrying over my previous year's #NewYearsResolution : I refuse to associate with toxic self-destructive people. http:‰Û_,Family/Friends/Relationships,Other,"Jacksonville & So. Fla ",FL,South,male,NULL,2014-12-23,13,Tuesday
RT @lucky_uddin1: #NewYearsResolution Overcome Every Obstacle Life Throws At Me With A Smile...,Personal Growth,Watch less TV,"Birmingham ",AL,South,female,NULL,2014-12-23,13,Tuesday
#NewYearsResolution get a boyfriend @sammywilk _Ù÷ä,Personal Growth,Other,"webster, new york",NY,Northeast,female,NULL,2014-12-23,13,Tuesday
I am going put up more tweets than retweets next year. #NewYearsResolution #tweets,Personal Growth,Be more positive,"Grand Rapids, MI",MI,Midwest,male,NULL,2014-12-23,13,Tuesday
My #NewYearsResolution is to spend all of my free time working out and perfecting my #dreambody #work #gym #happylife,Health & Fitness,Quit smoking,Sioux City,IA,Midwest,female,NULL,2014-12-23,14,Tuesday
